"Genre" "TypeFormation" "AnnéeFormation" "Statut" "Ecole" "Campus" "Implantation" "Accueil" "Qualité formation" "Hébergement" "Centre doc." "Eq. sportifs" "Vie campus" "Cadre de vie" "Sécurité" "Cond. vie générale"
"87" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"88" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Peu satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Ne sais pas / non concerné"
"89" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"91" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"92" "Femme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"93" "Homme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"94" "Femme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Insatisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"95" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Peu satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"97" "Homme" "Ingénieur" "M2" "Apprenti" "Dijon" "Dijon" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"99" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"100" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Très satisfait"
