"Area" "Mean" "StdDev" "Mode" "Min" "Max" "Perim." "WIDTH" "HEIGHT" "Major" "Minor" "Angle" "Circ." "Feret" "IntDen" "Median" "Skew" "Kurt" "RawIntDen" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Sigma" "Theta" "Width" "A" "Bgrd" "Intens" "E" "Image"
"121" 99 16674.26 17379.75 65504 5328 65504 49.84 11 15 13.35 9.44 67.07 0.5 15.52 1650752 8720 2 2.76 1650752 75.07 11 1.41 0.71 0.77 87.15 1.01 4463.61 0.77 5708.8 1128426.92 "Bacterie" "Img2"
"125" 37 13058.16 12136.16 5696 5312 55648 26.63 7 8 7.01 6.72 116.85 0.66 9.22 483152 7872 2.09 3.72 483152 40.6 7 1.04 0.96 0.75 88.8 1.43 2517.97 0.78 4196.74 259092.65 "Bacterie" "Img2"
"128" 49 16496.33 17465.76 65504 5344 65504 31.8 10 10 8.44 7.4 66.94 0.61 11.66 808320 8400 1.91 2.36 808320 30.96 9.19 1.14 0.88 0.73 72.45 1.18 3183.01 0.81 4790.84 579325.67 "Bacterie" "Img2"
"139" 73 15625.42 17051.74 65504 5328 65504 49.36 12 12 10.64 8.74 75.46 0.38 13.6 1140656 8624 2.16 3.46 1140656 53.97 10.6 1.22 0.82 0.68 80.21 1.39 3497.42 0.88 5414.49 713958.9 "Bacterie" "Img2"
"140" 36 14357.33 13413.69 5696 5696 57216 22.38 7 8 7.09 6.46 108.69 0.9 8.25 516864 7952 1.91 2.67 516864 104.04 7 1.1 0.91 0.85 85.79 1.56 2590.51 0.88 4349.56 294195.16 "Bacterie" "Img2"
"145" 175 18854.22 19129.57 65504 5328 65504 60.77 17 15 15.75 14.15 67.62 0.6 17.26 3299488 9552 1.66 1.32 3299488 10.01 15 1.11 0.9 0.86 8.98 1.55 6774.29 0.9 -604.44 2743650.01 "Bacterie" "Img2"
"149" 86 15732.28 17431.15 65504 5344 65504 44.77 12 13 12.5 8.76 68.05 0.54 14.21 1352976 8592 2.09 2.97 1352976 50.71 10.12 1.43 0.7 0.74 80.11 0.19 3926.28 0.92 5413.72 900805.85 "Bacterie" "Img2"
"153" 147 18880.22 18483.01 65504 5312 65504 67.15 13 17 16.15 11.59 70.87 0.41 18.87 2775392 10640 1.63 1.34 2775392 57.99 12.3 1.39 0.72 0.8 15.2 1.39 6613.59 0.94 1007.23 2529001.38 "Bacterie" "Img2"
"155" 147 17895.29 18489.2 65504 5424 65504 65.74 14 16 15.19 12.32 71.17 0.43 17.8 2630608 9136 1.78 1.77 2630608 51.84 14 1.23 0.81 0.78 22.17 0.65 6865.3 0.94 1509.35 2785651.21 "Bacterie" "Img2"
"163" 18 14324.44 10814.6 5824 5584 38816 17.9 4 6 6.16 3.72 68.94 0.71 7.21 257840 10976 1.2 0.19 257840 56.31 4 1.66 0.6 0.86 96.13 0.32 2729.42 0.96 3471.1 232619.73 "Bacterie" "Img2"
"166" 156 16913.74 17316.44 65504 5312 65504 61.74 15 17 16.13 12.31 60.14 0.51 19.85 2638544 9440 1.98 2.72 2638544 40.91 14.4 1.31 0.76 0.78 55.81 0.01 5473.68 0.97 3716.43 1725871.48 "Bacterie" "Img2"
"167" 76 14527.58 15241.28 65504 5328 65504 38.28 9 12 11.35 8.52 89.77 0.65 13 1104096 8432 2.31 4.41 1104096 67.38 9 1.33 0.75 0.82 85.17 0.17 3490.71 0.97 5489.34 679005 "Bacterie" "Img2"
"169" 30 13850.67 12007.29 5600 5344 48912 20.14 6 7 6.73 5.67 94.78 0.93 7.62 415520 8240 1.63 1.59 415520 113.2 6 1.19 0.84 0.83 94.21 0.17 2889.56 0.98 4073.6 312190.16 "Bacterie" "Img2"
"172" 75 16268.8 17881.54 65504 5312 65504 42.53 10 12 11.34 8.42 59.39 0.52 13.45 1220160 8624 2.08 2.85 1220160 41.99 9.9 1.35 0.74 0.79 71.17 0.46 4177.29 1 4897.64 1038439.16 "Bacterie" "Img2"
"174" 23 11579.13 8834.22 5344 5344 36160 19.56 7 6 6.51 4.5 25.2 0.76 7.62 266320 6448 1.52 1.29 266320 23.2 6 1.45 0.69 0.72 125.36 0.56 3000.29 1.05 3879.13 240833.4 "Bacterie" "Img2"
"177" 164 20206.05 19671.79 65504 5328 65504 64.67 14 19 17.27 12.09 73.82 0.49 19.72 3313792 10192 1.38 0.52 3313792 59.53 14 1.43 0.7 0.78 50.95 0.57 9441.94 1.1 -3582.12 5421892.4 "Bacterie" "Img2"
"178" 122 20718.16 19495.33 65504 5344 65504 49.36 13 16 15.01 10.35 66.8 0.63 16.76 2527616 11104 1.41 0.62 2527616 72.65 12.07 1.45 0.69 0.82 7.08 1.53 6787.08 1.11 458.2 2696127.24 "Bacterie" "Img2"
"179" 10 9011.2 2767.65 5568 5568 13840 11.07 4 3 4.05 3.14 153.43 1 5 90112 8224 0.53 -1.05 90112 143.13 3 1.29 0.78 0.91 307.91 0.17 3125.13 1.11 3143.34 86192.61 "Bacterie" "Img2"
"180" 125 17556.35 18205.1 65504 5424 65504 56.18 14 15 13.66 11.65 60.62 0.5 16.16 2194544 9904 1.88 2.11 2194544 68.2 13.72 1.17 0.85 0.8 74.04 0.53 6029.29 1.12 4979.54 2114125.94 "Bacterie" "Img2"
"181" 79 17334.28 18186.94 65504 5344 65504 41.36 10 13 11.35 8.86 79.71 0.58 13.34 1369408 9408 1.92 2.31 1369408 77.01 10 1.28 0.78 0.77 80.24 0.24 4558.12 1.13 5410.46 1211350.85 "Bacterie" "Img2"
"183" 129 18037.21 18736.98 65504 5376 65504 55.01 13 16 14.6 11.25 78.37 0.54 16.4 2326800 8992 1.72 1.58 2326800 52.43 12.63 1.3 0.77 0.81 53.67 0.22 6498.25 1.18 3557.26 2421049.74 "Bacterie" "Img2"
"185" 63 17478.86 18080.95 65504 5344 65504 34.04 10 10 9.44 8.5 72.7 0.68 12.21 1101168 9504 1.84 2.09 1101168 55.01 9.43 1.11 0.9 0.81 75.9 0.07 3995.41 1.18 5093.62 926331.32 "Bacterie" "Img2"
"186" 129 17403.16 17712 65504 5312 65504 53.25 13 16 14.61 11.24 67.63 0.57 17.09 2245008 9200 1.93 2.47 2245008 69.44 12.61 1.3 0.77 0.79 90.74 0.01 5594.15 1.23 5869.97 1750336.73 "Bacterie" "Img2"
"190" 5 5878.4 333.63 5504 5504 6304 9.07 4 2 3.73 1.71 174.85 0.76 4.12 29392 5856 0.15 -1.48 29392 165.96 2 2.19 0.46 0.77 1007.85 0.01 3992.2 1.43 3051.52 41711.96 "Bacterie" "Img2"
"193" 79 18878.38 17779.74 65504 5328 65504 41.11 11 12 11.54 8.72 58.14 0.59 13.89 1491392 11152 1.72 1.67 1491392 59.74 10.6 1.32 0.76 0.75 88.39 0.68 7167.07 1.76 5607.69 2817674.67 "Bacterie" "Img2"
