"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"3161"	"methionine"	0	101	98	0.93	0	83.3	16.7	16.6	26.5	33.6	33.8	6.74	1.92	18	17	6076	30.09	2.046153846	192.3076923	32.34615385
"1806"	"methionine"	0	80	74	0.97	16.7	83.3	0	20.9	100	36.5	33.5	6.92	1.87	19	12	7139	31.49	2.41	132.3	32.2
"6670"	"temoin"	0	85	87	0.94	0	84.4	15.6	27.2	0	50.7	46.3	6.86	1.77	22	11	7552	30.19	0.669230769	212.9615385	33.75769231
"3640"	"methionine"	0	82	78	0.92	0	84.4	15.6	21.9	66.7	35.8	33.5	6.87	1.84	20.5	18	6735	31.69	2.4625	214.9375	33.41875
"1094"	"temoin"	1	103	98	0.91	0	84.4	15.6	17.3	47.4	34.6	33.5	6.8	1.86	19.3	8	7280	31.29	1.916666667	131.5	30.57222222
"7707"	"methionine"	1	86	88	0.91	0	84.5	15.5	20	0	41.8	39.3	6.81	1.83	18.5	12	6880	31.09	4.743478261	148.5217391	30.09130435
"6843"	"temoin"	0	100	102	0.9	0	85.3	14.7	20.9	19.6	48.8	48.7	6.93	1.97	21.5	13	7584	31.69	4.87	138.65	31.285
"4737"	"temoin"	1	61	61	0.93	0	85.4	14.6	28.5	69.4	47	44.8	6.88	1.86	19.2	7	6520	31.29	2.465517241	129.5862069	32.8862069
"6373"	"temoin"	0	70	64	0.95	0	85.7	14.3	24.6	32.7	44	41.7	6.81	1.85	18.6	10	6426	29.69	-0.836363636	121.4545455	31.68181818
"7285"	"methionine"	1	97	93	0.91	0	85.7	14.3	15.4	37.9	36.4	33	6.89	1.85	16.6	12	6716	30.69	2.230769231	143.3076923	30.18461539
"9374"	"methionine"	0	103	109	0.94	0	86.1	13.9	18.1	100	42.4	37	6.9	1.77	18.4	17	8498	30.99	2.157142857	207.7857143	35.78571429
"4488"	"methionine"	0	97	101	0.94	0	86.7	13.3	19	75	44.2	38.7	6.95	1.79	18.5	11	6571	30.99	-1.066666667	150.4444444	34.14444444
"8833"	"temoin"	1	77	65	0.99	0	86.7	13.3	24.7	44.6	40.7	41.8	6.72	1.92	19.9	11	7715	32.59	2.953846154	177.0512821	33.90769231
"7865"	"temoin"	1	86	82	0.95	0	86.7	13.3	27	0	54	49.9	6.85	1.8	20.5	14	6578	31.49	2.222222222	189.4444444	33.09444444
