"L" "a" "b" "Weight" "Diam" "Maturity" "Variety"
"275" 57.1 22.17 34.76 0.0731 0.046438 "3" "A"
"276" 61.6 17.61 39.61 0.0518 0.039825 "3" "A"
"277" 59.72 25.25 41.92 0.0555 0.040425 "3" "A"
"278" 47.93 29.52 28.58 0.0585 0.0421 "3" "A"
"279" 63.99 13.04 46.07 0.0698 0.0433 "3" "A"
"280" 59.23 18.26 43.26 0.0722 0.045988 "3" "A"
"281" 39.93 16.62 20.64 0.0588 0.042338 "3" "A"
"282" 38.88 31.55 17.3 0.0573 0.042513 "3" "A"
"283" 61.35 18.71 41.52 0.0631 0.042688 "3" "A"
"284" 61.02 7.47 40 0.0627 0.04335 "3" "A"
"285" 56.46 25.81 35.83 0.0663 0.04335 "3" "A"
"286" 66.53 8.8 46.04 0.0644 0.0431 "3" "A"
"287" 54.58 34.36 37.36 0.0585 0.042225 "3" "A"
"288" 67.29 7.84 45.27 0.0721 0.043275 "3" "A"
"289" 55.74 24.37 36.99 0.0671 0.042912 "3" "A"
"290" 61.27 -3.38 40.84 0.0559 0.0407 "2" "A"
"291" 64.59 -0.63 46.81 0.0628 0.041313 "2" "A"
"292" 57.19 15.93 36.06 0.0669 0.042813 "2" "A"
"293" 59.62 12.09 40.22 0.0542 0.039825 "2" "A"
"294" 63.08 -5.94 43.75 0.0565 0.040388 "2" "A"
"295" 61.39 8.62 40.02 0.0567 0.040275 "2" "A"
"296" 68.17 -3.09 46.42 0.0528 0.040587 "2" "A"
"297" 60.97 5.76 40.39 0.0545 0.039625 "2" "A"
"298" 59.19 10.02 37.74 0.0467 0.037363 "2" "A"
"299" 67.83 9.91 48.19 0.0523 0.037838 "2" "A"
"300" 54.41 21.75 34.71 0.0509 0.039325 "2" "A"
"301" 63.09 5.79 44.58 0.052 0.03935 "2" "A"
"302" 61.9 7.22 42.71 0.0705 0.042775 "2" "A"
"303" 61.81 16.33 38.42 0.0525 0.039 "2" "A"
"304" 54.87 28.58 32.38 0.0569 0.04165 "2" "A"
"305" 61.08 9.13 38.52 0.0661 0.044038 "2" "A"
"306" 61.77 7.39 42.63 0.0617 0.04165 "2" "A"
"307" 62.38 11.86 41.09 0.0684 0.042612 "2" "A"
"308" 41.15 41.62 22.25 0.057 0.040438 "2" "A"
"309" 59.03 19.93 40.29 0.049 0.038525 "2" "A"
"310" 59.03 22.09 35.7 0.0526 0.040113 "2" "A"
"311" 63.94 12.09 40.06 0.0523 0.040563 "2" "A"
"312" 64.42 12.6 45.15 0.0545 0.04005 "2" "A"
"313" 64.77 5.61 44.48 0.065 0.04255 "2" "A"
"314" 59.32 7.44 38.01 0.0599 0.0413 "2" "A"
"315" 55.81 18.87 31.01 0.0595 0.0413 "2" "A"
"316" 54.8 23.16 35.1 0.0611 0.040375 "2" "A"
"317" 58.05 20.51 37.18 0.0627 0.04175 "2" "A"
"318" 62.25 11.43 43.8 0.0568 0.0391 "2" "A"
"319" 54.48 15.87 35.97 0.0616 0.041838 "2" "A"
"320" 62.11 11.72 38.77 0.0502 0.038575 "2" "A"
"321" 64.08 4.83 41.61 0.0599 0.04185 "2" "A"
"322" 55.79 17.91 34.68 0.06 0.042763 "2" "A"
"323" 47.37 14.67 24.09 0.0626 0.042188 "2" "A"
"324" 61.79 9.75 42.57 0.0539 0.039325 "2" "A"
"325" 66.52 9.4 49.03 0.0616 0.041212 "2" "A"
"326" 53.4 16.51 30.65 0.0574 0.039875 "2" "A"
"327" 63.13 9.62 43.57 0.0562 0.039363 "2" "A"
"328" 69.36 0.9 43.23 0.0448 0.04005 "2" "D"
"329" 72.01 -2.82 45.27 0.0425 0.0395 "2" "D"
"330" 70.59 -1.56 41.18 0.0471 0.040712 "2" "D"
"331" 70.89 -0.74 45.06 0.0475 0.041537 "2" "D"
"332" 62.77 4.91 42.97 0.0487 0.041987 "2" "D"
"333" 70.52 -2.85 45.79 0.0604 0.045137 "2" "D"
"334" 65.21 -0.33 43.25 0.0599 0.043575 "2" "D"
"335" 69.25 -2.46 35.39 0.0586 0.045775 "2" "D"
"336" 70.45 -2.97 42.21 0.0573 0.043487 "2" "D"
"337" 69.68 2.45 45.32 0.0491 0.041425 "2" "D"
"338" 70.52 1 40.62 0.0516 0.043675 "2" "D"
"339" 69.92 -1.5 40.94 0.0516 0.04305 "2" "D"
"340" 71.31 -1.05 44.21 0.0495 0.040675 "2" "D"
"341" 71.37 -0.5 44.66 0.0437 0.039738 "2" "D"
"342" 71.64 -3.2 39.92 0.0701 0.046988 "2" "D"
"343" 69.74 -0.58 42.86 0.05 0.042688 "2" "D"
"344" 70.97 -3.56 42.38 0.0679 0.046363 "2" "D"
"345" 71.43 -0.83 45.31 0.043 0.040725 "2" "D"
"346" 71.03 0.84 41.62 0.0462 0.041938 "2" "D"
"347" 69.61 -2.23 44.82 0.0477 0.040063 "2" "D"
"348" 70.2 5.86 50.56 0.0423 0.039625 "2" "D"
"349" 69.95 -4.26 35.65 0.0564 0.0452 "2" "D"
"350" 69.53 -3.69 41.42 0.0667 0.044612 "2" "D"
"351" 70.92 -0.45 45.57 0.0468 0.04095 "2" "D"
"352" 69.98 3.48 48.87 0.0425 0.040212 "2" "D"
"353" 71.14 -1.97 42.67 0.0499 0.042162 "2" "D"
"354" 72.79 -2.08 46.64 0.054 0.0432 "2" "D"
"355" 68.08 5.52 46.03 0.0474 0.041225 "2" "D"
"356" 70.64 -0.96 47.52 0.0489 0.042362 "2" "D"
"357" 70.86 -2.05 39.19 0.0621 0.046 "2" "D"
"358" 70.63 -2.17 41.82 0.0573 0.043013 "2" "D"
"359" 72.31 -0.37 42.27 0.063 0.0458 "2" "D"
"360" 70.47 -1.83 40.4 0.0596 0.045775 "2" "D"
"361" 69.19 -0.99 40.34 0.0387 0.03925 "2" "D"
"362" 69.13 -2.73 41.86 0.0473 0.04055 "2" "D"
"363" 68.62 4.61 39.56 0.0459 0.041912 "2" "D"
"364" 71.73 -0.44 47.08 0.0598 0.043675 "2" "D"
"365" 70.09 0.82 46.4 0.0496 0.042225 "2" "D"
"366" 71.34 1.81 49.12 0.0475 0.0415 "2" "D"
"367" 66.34 -3.6 35.72 0.0514 0.0433 "1" "D"
"368" 69.69 -6.23 37.2 0.043 0.039 "1" "D"
"369" 69.44 -6.15 41.45 0.0507 0.041412 "1" "D"
"370" 69.11 -6.09 42.95 0.0603 0.0446 "1" "D"
"371" 69.31 -6.21 41.91 0.0508 0.041763 "1" "D"
"372" 68.81 -5.78 35.53 0.0663 0.047387 "1" "D"
"373" 70.23 -3.39 38.29 0.0443 0.03965 "1" "D"
"374" 72.71 -4.88 40.87 0.0624 0.04435 "1" "D"
"375" 68.93 -4.66 40.83 0.0555 0.04305 "1" "D"
"376" 69.02 -6.42 40.54 0.0602 0.043638 "1" "D"
"377" 65.21 -4.84 34.31 0.0568 0.043788 "1" "D"
"378" 69.83 -6.05 35.95 0.055 0.043987 "1" "D"
"379" 71.76 -6.63 36.47 0.0572 0.044312 "1" "D"
"380" 70.23 -5.44 44.01 0.0425 0.0404 "1" "D"
"381" 71.57 -4.35 44.27 0.0449 0.039238 "1" "D"
"382" 70.31 -3.81 39.94 0.0621 0.045163 "1" "D"
"383" 66.58 -1.52 45.67 0.0439 0.039738 "1" "D"
"384" 65.1 -6.66 33.49 0.0509 0.042987 "1" "D"
"385" 71.18 -5.56 39.4 0.0609 0.045088 "1" "D"
"386" 70.84 -4.3 42.68 0.0445 0.0402 "1" "D"
"387" 71.95 -4.34 43.78 0.0553 0.04425 "1" "D"
"388" 68.38 -5.17 40.04 0.0568 0.043675 "1" "D"
"389" 70.15 -5.99 43.57 0.0516 0.042688 "1" "D"
"390" 70.05 -3.82 45.09 0.0537 0.042487 "1" "D"
"391" 70.34 -3.77 44.72 0.0547 0.0434 "1" "D"
"392" 70.68 -6.27 36.99 0.0542 0.042425 "1" "D"
"393" 70.99 -7.36 38.17 0.0774 0.049987 "1" "D"
"394" 70.3 -5.44 45.16 0.0613 0.045338 "1" "D"
"395" 70.79 -4.41 40.91 0.0389 0.03815 "1" "D"
"396" 69.76 -2.64 38.15 0.0599 0.045363 "1" "D"
"397" 70.53 -5.66 39.39 0.0478 0.040825 "1" "D"
"398" 70.86 -5.75 43.43 0.0751 0.04965 "1" "D"
"399" 67.36 -5.34 41.15 0.0625 0.04605 "1" "D"
"400" 69.13 -4.98 38.7 0.0547 0.044525 "1" "D"
"401" 68.62 -3.96 41.72 0.0523 0.041238 "1" "D"
"402" 69.37 -5.11 37.1 0.056 0.044088 "1" "D"
"403" 67.93 -3.47 40.06 0.0665 0.048212 "1" "D"
"404" 71.02 -2.9 43.15 0.0508 0.041462 "1" "D"
"405" 68.36 -3.23 40.04 0.0452 0.040688 "1" "D"
"406" 70.9 -4.01 44.96 0.06 0.046413 "1" "D"
"407" 74.05 1 38.71 0.0481 0.041763 "3" "D"
"408" 71.09 1.6 45.52 0.0474 0.042862 "3" "D"
"409" 72.81 -0.48 45.42 0.0545 0.043162 "3" "D"
"410" 69.05 7.3 45.14 0.0443 0.041787 "3" "D"
"411" 72.31 1.76 42.1 0.0529 0.043562 "3" "D"
"412" 69.91 3.39 42.29 0.0575 0.044725 "3" "D"
"413" 69.14 6.87 45.85 0.063 0.045663 "3" "D"
"414" 71.36 3.17 45.1 0.049 0.043425 "3" "D"
"415" 72.34 4.05 46.01 0.0547 0.043987 "3" "D"
"416" 69.83 5.07 43.66 0.042 0.041363 "3" "D"
