"Weight" "Diam" "L" "a" "b" "Variety" "Maturity"
"mo1p38" 0.0608 0.046012 71.22 -9.05 36.03 "C" "1"
"mo1p39" 0.0627 0.045475 72.6 -7.6 39.71 "C" "1"
"mo1p40" 0.0576 0.044762 72.91 -6.68 37.86 "C" "1"
"mo2p01" 0.0778 0.048912 65.81 -1.13 29.77 "C" "2"
"mo2p02" 0.0634 0.044187 76.33 -1.39 35.21 "C" "2"
"mo2p03" 0.0618 0.043812 71.34 -5.25 41.59 "C" "2"
"mo2p04" 0.0738 0.046738 75.81 -3.8 44.67 "C" "2"
"mo2p05" 0.089 0.050287 73.09 -4.77 41.04 "C" "2"
"mo2p06" 0.1039 0.053962 71.5 1.02 36.05 "C" "2"
"mo2p07" 0.0856 0.048813 73.34 -4.38 37.91 "C" "2"
"mo2p08" 0.0743 0.047275 72.77 -0.16 40.13 "C" "2"
"mo2p09" 0.091 0.049975 75.38 -2.49 33.46 "C" "2"
"mo2p10" 0.0642 0.045875 75.36 -3.68 37.15 "C" "2"
"mo2p11" 0.0776 0.047662 75.37 -5.24 36.85 "C" "2"
"mo2p12" 0.0761 0.048 70.2 -3.84 38.88 "C" "2"
"mo2p13" 0.0749 0.046525 61.95 -1.43 25.25 "C" "2"
"mo2p14" 0.0733 0.04825 75.97 -5.84 37.13 "C" "2"
"mo2p15" 0.0602 0.043088 70.98 1.55 32.16 "C" "2"
"mo2p16" 0.091 0.050537 76.12 -3.46 37.2 "C" "2"
"mo2p17" 0.078 0.048763 74.61 -5.58 34.94 "C" "2"
"mo2p18" 0.0773 0.048825 78.15 -6.07 38.11 "C" "2"
"mo2p19" 0.0757 0.047725 78.87 -7.23 35.61 "C" "2"
"mo2p20" 0.0672 0.04525 60.7 -0.54 26.44 "C" "2"
"mo2p21" 0.0638 0.044175 74.65 0.55 41.22 "C" "2"
"mo2p22" 0.0698 0.046587 76.12 -6.32 41.45 "C" "2"
"mo2p23" 0.0761 0.048712 78.26 -3.06 35.65 "C" "2"
"mo2p24" 0.0604 0.044075 78.29 -2.27 36.43 "C" "2"
