"Poids" "Diam" "L" "a" "b" "Glucose" "Fructose" "Saccharose" "Citrate" "Malate" "Variete" "Maturite"
"bl1p07" 44.3 39.65 70.23 -3.39 38.29 2.44 0.8 2.27 10.03 18.91 "bl" "Faible"
"bl1p08" 62.4 44.35 72.71 -4.88 40.87 2.48 0.75 3 11.44 14.55 "bl" "Faible"
"bl1p09" 55.5 43.05 68.93 -4.66 40.83 2.07 0.8 2.89 12.29 21.29 "bl" "Faible"
"bl1p10" 60.2 43.638 69.02 -6.42 40.54 2.21 0.73 2.76 11.45 17.87 "bl" "Faible"
"bl1p11" 56.8 43.788 65.21 -4.84 34.31 2.23 0.78 2.23 12.76 22.5 "bl" "Faible"
"bl1p12" 55 43.987 69.83 -6.05 35.95 2.1 0.7 2.47 9.39 18.72 "bl" "Faible"
"bl1p13" 57.2 44.312 71.76 -6.63 36.47 2.19 0.67 2.56 10.94 21.74 "bl" "Faible"
"bl1p14" 42.5 40.4 70.23 -5.44 44.01 2.99 0.87 3.17 12.71 15.17 "bl" "Faible"
"bl1p15" 44.9 39.238 71.57 -4.35 44.27 2.85 0.87 3.32 8.5 14.52 "bl" "Faible"
"bl1p16" 62.1 45.163 70.31 -3.81 39.94 2.38 0.78 3.48 13.48 17.87 "bl" "Faible"
"bl1p17" 43.9 39.738 66.58 -1.52 45.67 2.51 0.72 2.74 13.14 17.48 "bl" "Faible"
"bl1p18" 50.9 42.987 65.1 -6.66 33.49 2.44 0.77 2.08 11.16 16.82 "bl" "Faible"
"bl1p19" 60.9 45.088 71.18 -5.56 39.4 2.17 0.76 2.91 9.06 18.5 "bl" "Faible"
"bl1p20" 44.5 40.2 70.84 -4.3 42.68 2.8 0.7 2.95 8.96 15.23 "bl" "Faible"
"bl1p21" 55.3 44.25 71.95 -4.34 43.78 2.48 0.77 2.36 8 18.62 "bl" "Faible"
"bl1p22" 56.8 43.675 68.38 -5.17 40.04 2.56 0.79 3.82 13.57 13.97 "bl" "Faible"
"bl1p23" 51.6 42.688 70.15 -5.99 43.57 3.1 0.83 3.76 10.09 15.73 "bl" "Faible"
"bl1p24" 53.7 42.487 70.05 -3.82 45.09 3.06 0.85 4.3 9.58 14.23 "bl" "Faible"
"bl1p25" 54.7 43.4 70.34 -3.77 44.72 3.08 0.8 4.28 11.64 16.17 "bl" "Faible"
"bl1p26" 54.2 42.425 70.68 -6.27 36.99 2.37 0.75 2.53 9.46 18.87 "bl" "Faible"
"bl1p27" 77.4 49.987 70.99 -7.36 38.17 2.28 0.7 2.95 9.63 18.98 "bl" "Faible"
"bl1p28" 61.3 45.338 70.3 -5.44 45.16 2.5 0.78 3.09 6.05 16.89 "bl" "Faible"
"bl1p29" 38.9 38.15 70.79 -4.41 40.91 2.51 0.88 3.48 10.11 18.1 "bl" "Faible"
"bl1p30" 59.9 45.363 69.76 -2.64 38.15 2.47 0.71 4.02 14.67 15.36 "bl" "Faible"
"bl1p31" 47.8 40.825 70.53 -5.66 39.39 2.59 0.8 3.36 10.7 19.84 "bl" "Faible"
"bl1p32" 75.1 49.65 70.86 -5.75 43.43 2.91 0.82 3.31 12.24 20.28 "bl" "Faible"
"bl1p33" 62.5 46.05 67.36 -5.34 41.15 3.24 0.8 3.72 9.21 13.4 "bl" "Faible"
"bl1p34" 54.7 44.525 69.13 -4.98 38.7 2.59 0.85 3.7 12.73 19.64 "bl" "Faible"
"bl1p35" 52.3 41.238 68.62 -3.96 41.72 2.25 0.63 2.57 9.42 15.26 "bl" "Faible"
"bl1p36" 56 44.088 69.37 -5.11 37.1 2.36 0.73 3.48 14.37 16.69 "bl" "Faible"
"bl1p37" 66.5 48.212 67.93 -3.47 40.06 2.8 0.8 4.27 12.97 17.56 "bl" "Faible"
"bl1p38" 50.8 41.462 71.02 -2.9 43.15 2.64 0.8 4.25 11.47 21.9 "bl" "Faible"
"bl1p39" 45.2 40.688 68.36 -3.23 40.04 2.3 0.85 3 13.9 19.25 "bl" "Faible"
"bl1p40" 60 46.413 70.9 -4.01 44.96 2.71 0.9 4.53 13.25 20.69 "bl" "Faible"
"bl2p01" 44.8 40.05 69.36 0.9 43.23 2.25 0.61 4.37 12.15 13.14 "bl" "Moyenne"
"bl2p02" 42.5 39.5 72.01 -2.82 45.27 1.73 0.52 2.87 10.43 13.28 "bl" "Moyenne"
"bl2p03" 47.1 40.712 70.59 -1.56 41.18 2.74 0.59 4.84 11.48 10.09 "bl" "Moyenne"
"bl2p04" 47.5 41.537 70.89 -0.74 45.06 1.87 0.57 3.56 12.44 13.15 "bl" "Moyenne"
"bl2p05" 48.7 41.987 62.77 4.91 42.97 2.68 0.69 5.37 15.93 12.65 "bl" "Moyenne"
"bl2p06" 60.4 45.137 70.52 -2.85 45.79 2.22 0.53 3.71 8.59 10.58 "bl" "Moyenne"
"bl2p07" 59.9 43.575 65.21 -0.33 43.25 2.17 0.44 4.26 13.4 11.48 "bl" "Moyenne"
"bl2p08" 58.6 45.775 69.25 -2.46 35.39 2.29 0.5 3.96 10.25 13.35 "bl" "Moyenne"
"bl2p09" 57.3 43.487 70.45 -2.97 42.21 2.43 0.57 4.67 13.82 13.2 "bl" "Moyenne"
"bl2p10" 49.1 41.425 69.68 2.45 45.32 2.52 0.53 4.56 10.58 13.33 "bl" "Moyenne"
"bl2p11" 51.6 43.675 70.52 1 40.62 3.27 0.82 5.07 13.1 11.4 "bl" "Moyenne"
"bl2p12" 51.6 43.05 69.92 -1.5 40.94 2.74 0.67 4.92 12.02 11.7 "bl" "Moyenne"
"bl2p13" 49.5 40.675 71.31 -1.05 44.21 2.51 0.57 4.45 12.71 13.02 "bl" "Moyenne"
"bl2p14" 43.7 39.738 71.37 -0.5 44.66 2.26 0.56 4.06 14.03 12.3 "bl" "Moyenne"
"bl2p15" 70.1 46.988 71.64 -3.2 39.92 2.03 0.46 3.95 13.14 15.14 "bl" "Moyenne"
"bl2p16" 50 42.688 69.74 -0.58 42.86 2.65 0.65 4.8 12.17 12.06 "bl" "Moyenne"
"bl2p17" 67.9 46.363 70.97 -3.56 42.38 2.05 0.44 3.76 11.92 14.89 "bl" "Moyenne"
"bl2p18" 43 40.725 71.43 -0.83 45.31 2.32 0.6 4.02 14.25 14.73 "bl" "Moyenne"
"bl2p19" 46.2 41.938 71.03 0.84 41.62 3.36 0.8 5.66 11.58 10.76 "bl" "Moyenne"
"bl2p20" 47.7 40.063 69.61 -2.23 44.82 2.91 0.66 4.65 10.78 12.48 "bl" "Moyenne"
"bl2p21" 42.3 39.625 70.2 5.86 50.56 2.42 0.74 4.46 11 12.01 "bl" "Moyenne"
"bl2p22" 56.4 45.2 69.95 -4.26 35.65 2.5 0.52 4.61 14.95 13.18 "bl" "Moyenne"
"bl2p23" 66.7 44.612 69.53 -3.69 41.42 2.19 0.54 3.93 11.07 13.52 "bl" "Moyenne"
"bl2p24" 46.8 40.95 70.92 -0.45 45.57 1.93 0.57 3.53 12.32 14.44 "bl" "Moyenne"
"bl2p25" 42.5 40.212 69.98 3.48 48.87 2.19 0.63 3.89 11.66 13.1 "bl" "Moyenne"
"bl2p26" 49.9 42.162 71.14 -1.97 42.67 2.54 0.56 4.73 12.66 11.88 "bl" "Moyenne"
"bl2p27" 54 43.2 72.79 -2.08 46.64 2.45 0.56 4 8.02 12.48 "bl" "Moyenne"
"bl2p28" 47.4 41.225 68.08 5.52 46.03 2.46 0.67 4.81 15.22 12.61 "bl" "Moyenne"
"bl2p29" 48.9 42.362 70.64 -0.96 47.52 2.48 0.68 4.57 11.85 13.71 "bl" "Moyenne"
"bl2p30" 62.1 46 70.86 -2.05 39.19 1.79 0.5 3.53 11.88 11.35 "bl" "Moyenne"
"bl2p31" 57.3 43.013 70.63 -2.17 41.82 1.72 0.44 3.12 7.13 10.98 "bl" "Moyenne"
"bl2p32" 63 45.8 72.31 -0.37 42.27 2.44 0.5 4.59 11.88 10.92 "bl" "Moyenne"
"bl2p33" 59.6 45.775 70.47 -1.83 40.4 2.35 0.54 4.56 13.46 12.64 "bl" "Moyenne"
"bl2p34" 38.7 39.25 69.19 -0.99 40.34 2.14 0.57 4.21 14.46 14.93 "bl" "Moyenne"
"bl2p35" 47.3 40.55 69.13 -2.73 41.86 2.82 0.62 4.31 12.62 13.84 "bl" "Moyenne"
"bl2p36" 45.9 41.912 68.62 4.61 39.56 2.79 0.65 4.15 10.13 10.8 "bl" "Moyenne"
"bl2p37" 59.8 43.675 71.73 -0.44 47.08 2.54 0.64 4.06 7.8 10.64 "bl" "Moyenne"
"bl2p39" 49.6 42.225 70.09 0.82 46.4 2.03 0.61 3.76 12.37 14.13 "bl" "Moyenne"
"bl2p40" 47.5 41.5 71.34 1.81 49.12 1.94 0.6 3.59 11.9 14.93 "bl" "Moyenne"
"bl3p03" 48.1 41.763 74.05 1 38.71 3.43 0.8 5.51 10.55 11.19 "bl" "Forte"
"bl3p06" 47.4 42.862 71.09 1.6 45.52 3.19 0.77 4.35 11.67 10.03 "bl" "Forte"
"bl3p07" 54.5 43.162 72.81 -0.48 45.42 3.17 0.95 4.08 5.39 10.07 "bl" "Forte"
"bl3p09" 44.3 41.787 69.05 7.3 45.14 4.86 1.6 6.14 8.92 10.99 "bl" "Forte"
"bl3p11" 52.9 43.562 72.31 1.76 42.1 3.55 0.95 5.42 9.84 10.75 "bl" "Forte"
"bl3p12" 57.5 44.725 69.91 3.39 42.29 3.22 0.87 4.41 11.7 11.62 "bl" "Forte"
"bl3p13" 63 45.663 69.14 6.87 45.85 4.33 1.13 5.56 7.27 8.28 "bl" "Forte"
"bl3p14" 49 43.425 71.36 3.17 45.1 3.9 0.9 5.51 10.31 9.63 "bl" "Forte"
"bl3p15" 54.7 43.987 72.34 4.05 46.01 4.25 1.15 5.8 6.33 9.19 "bl" "Forte"
"bl3p16" 42 41.363 69.83 5.07 43.66 3.11 0.7 4.64 10.74 9.14 "bl" "Forte"
"bl3p17" 48.9 42.787 73.37 1.04 45.03 3.5 0.77 4.13 7.96 10.07 "bl" "Forte"
"bl3p18" 45 41.2 73.81 4 45.44 3.12 0.8 3.98 6.55 9.61 "bl" "Forte"
"bl3p19" 56.3 45.6 70.14 4.64 40.78 4.22 1.04 5.61 7.91 8 "bl" "Forte"
"bl3p22" 49.4 43.225 70.25 5.36 44.19 2.93 0.79 5.38 7.84 11.02 "bl" "Forte"
"bl3p23" 39.5 39.15 73.6 6.14 43.98 3.66 1 4.64 3.97 8.25 "bl" "Forte"
"bl3p24" 62.1 44.988 70.92 6.98 47.35 3.46 0.92 5.48 5.83 8.24 "bl" "Forte"
"bl3p25" 54.2 44.4 69.26 1.21 40.11 3.58 1.1 3.76 11.97 13.9 "bl" "Forte"
"bl3p26" 46.6 42.487 69.03 2.63 40.94 4.61 0.59 4.42 10.68 13.08 "bl" "Forte"
"bl3p27" 57.8 45.687 68.03 5.03 41.58 4.07 1.42 5.51 8.9 10.96 "bl" "Forte"
"bl3p28" 46.8 43.575 70.58 -0.75 38.9 3.2 0.85 4.85 9.84 12.54 "bl" "Forte"
"bl3p29" 64.8 45.913 70.06 3.63 43.58 3.46 1.03 5.52 12.22 13.02 "bl" "Forte"
"bl3p31" 54.6 45.238 72.76 3.15 42.87 3.6 1.02 2.6 5.83 10.24 "bl" "Forte"
"bl3p32" 54.9 44.25 72.26 0.43 39.8 3.73 1.1 3.18 6.33 11.42 "bl" "Forte"
"bl3p33" 51.7 44.062 71.33 2.18 43.82 3.47 1.02 4.24 9.53 11.33 "bl" "Forte"
"bl3p34" 60.5 47.3 74.67 -0.09 40.07 4.34 1.25 4.69 7.02 8.49 "bl" "Forte"
"bl3p35" 55.1 43.7 67.79 9.47 43.04 4.52 1.77 6.12 5.38 9.61 "bl" "Forte"
"bl3p36" 47.3 43.8 70.24 5.68 42.86 5.1 1.72 6.48 3.73 6.91 "bl" "Forte"
"bl3p37" 59.4 45.038 70.12 2.26 40.39 3.41 1.06 4.04 10.9 12.41 "bl" "Forte"
"bl3p39" 51.8 42.525 73.54 3.31 45.64 3.48 1.14 5.24 9.32 12.24 "bl" "Forte"
"go1p01" 53.3 43.013 63.36 8.82 46.47 1.67 0.67 4.03 26.11 8.04 "go" "Faible"
"go1p02" 50.1 41.313 62.88 10.33 49.36 1.6 0.53 4.95 28.19 7.63 "go" "Faible"
"go1p03" 76.3 47.438 62.25 -7.7 45.84 1.5 0.58 3.47 28.91 10.15 "go" "Faible"
"go1p04" 72.2 48.625 65.26 7.67 51.16 1.55 0.65 3.67 23.49 7.93 "go" "Faible"
"go1p05" 75.4 48.25 64.36 2.2 51.51 1.67 0.67 3.55 28.06 8.34 "go" "Faible"
"go1p06" 52.3 41.537 62.8 4.25 47.3 1.48 0.58 3.28 28.54 5.08 "go" "Faible"
"go1p07" 50.6 41.987 63.89 2.4 47.06 1.25 0.53 3.04 28.95 6.73 "go" "Faible"
"go1p08" 57.9 43.825 62.78 4 46.98 1.63 0.58 3.29 24.67 7.93 "go" "Faible"
"go1p09" 68.4 46.137 62.48 -3.82 48.21 1.4 0.6 2.81 24.26 8.37 "go" "Faible"
"go1p10" 64.3 45.937 64.56 -2.2 52.16 1.7 0.65 3.19 31.72 7.03 "go" "Faible"
"go1p11" 46.6 40.775 59.48 -1.35 40.3 1.18 0.48 2.47 31.28 7.02 "go" "Faible"
"go1p12" 58.9 44.062 59.31 6.05 43.41 1.4 0.55 3.7 28.08 7.6 "go" "Faible"
"go1p13" 53.1 43.162 62.65 10.11 48.23 1.85 0.7 3.99 32.84 8.81 "go" "Faible"
"go1p14" 75.8 48.925 62.4 3.33 47.59 1.65 0.62 3.51 33.18 9.4 "go" "Faible"
"go1p15" 51.5 41.263 61.37 -1.56 43.93 1.42 0.55 3.08 33.54 8.2 "go" "Faible"
"go1p16" 96.7 53.738 63.08 10.63 52.1 1.67 0.5 4.51 28.49 7.31 "go" "Faible"
"go1p17" 52.6 41.8 65.02 6.48 50.68 1.93 0.65 3.9 25.78 7.16 "go" "Faible"
"go1p18" 75.5 46.012 63.93 6.03 49.95 1.9 0.67 4.69 30.81 8.49 "go" "Faible"
"go1p19" 72.2 45.825 63.44 3.22 49.25 1.53 0.58 3.57 29.76 8.08 "go" "Faible"
"go1p20" 54.8 43.312 58.81 -1.34 42.86 1.17 0.55 1.8 31.98 7.3 "go" "Faible"
"go1p21" 60.1 44.463 59.06 -4.24 42.98 1.1 0.45 2.23 35.88 6.41 "go" "Faible"
"go1p22" 65.2 46.325 56.94 -6.07 40.53 1.35 0.53 2.76 30.93 8.38 "go" "Faible"
"go1p23" 63.4 45.325 60.4 -1.36 45.69 1.25 0.57 2.66 30.42 8.34 "go" "Faible"
"go1p24" 68.3 45.562 63.36 -4.85 47.57 1.32 0.57 2.65 30.37 8.18 "go" "Faible"
"go1p25" 59.5 43.25 64.04 2.24 46.76 1.58 0.73 2.85 26.61 6.88 "go" "Faible"
